x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel
0.0,145.0,35.0,1.0,499073.883855,11.0,130.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
1.0,145.0,35.0,1.0,499073.883883,11.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
9.0,145.0,37.0,1.0,499073.889791,12.0,165.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
8.0,145.0,36.0,1.0,499073.889805,12.0,103.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
7.0,145.0,36.0,1.0,499073.889833,12.0,124.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
6.0,145.0,36.0,1.0,499073.889861,12.0,124.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
5.0,145.0,36.0,1.0,499073.889889,12.0,137.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
4.0,145.0,35.0,1.0,499073.889917,12.0,137.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
3.0,145.0,35.0,1.0,499073.889945,11.0,158.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
2.0,145.0,35.0,1.0,499073.889973,11.0,130.0,1.0,1.0,26.0,0.0,0.0,32.0,0.0,0.0,0.0
0.0,147.0,34.0,1.0,499073.908873,11.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
1.0,147.0,35.0,1.0,499073.908901,11.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
2.0,147.0,35.0,1.0,499073.908929,11.0,124.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
3.0,147.0,35.0,1.0,499073.908957,11.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
4.0,147.0,35.0,1.0,499073.908985,11.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
5.0,147.0,35.0,1.0,499073.908999,12.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
6.0,147.0,36.0,1.0,499073.909027,12.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
7.0,146.0,36.0,1.0,499073.909055,12.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
8.0,146.0,36.0,1.0,499073.909083,12.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
9.0,146.0,37.0,1.0,499073.909111,12.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
10.0,146.0,37.0,1.0,499073.909139,12.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
11.0,146.0,37.0,1.0,499073.909167,12.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
12.0,146.0,38.0,1.0,499073.909195,12.0,158.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
13.0,146.0,38.0,1.0,499073.909223,12.0,137.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
14.0,146.0,38.0,1.0,499073.909251,12.0,144.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
15.0,146.0,38.0,1.0,499073.909279,13.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
16.0,146.0,38.0,1.0,499073.909307,13.0,165.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
17.0,146.0,39.0,1.0,499073.909335,13.0,151.0,1.0,1.0,26.0,0.0,1.0,32.0,0.0,0.0,0.0
